12.0	1.0
73.0	1.0
241.0	2.0
242.0	1.0
243.0	2.0
290.0	2.0
301.0	2.0
302.0	1.0
370.0	2.0
371.0	2.0
376.0	1.0
420.0	2.0
425.0	1.0
427.0	1.0
455.0	2.0
461.0	2.0
462.0	1.0
468.0	1.0
541.0	1.0
542.0	2.0
600.0	1.0
637.0	2.0
638.0	2.0
639.0	1.0
645.0	2.0
656.0	2.0
661.0	1.0
666.0	2.0
667.0	1.0
668.0	1.0
671.0	1.0
678.0	1.0
679.0	2.0
681.0	1.0
689.0	1.0
692.0	2.0
713.0	2.0
720.0	2.0
740.0	2.0
746.0	1.0
756.0	2.0
757.0	1.0
759.0	1.0
764.0	2.0
770.0	1.0
780.0	1.0
781.0	1.0
798.0	1.0
799.0	1.0
808.0	1.0
849.0	2.0
879.0	1.0
903.0	2.0
935.0	2.0
946.0	1.0
947.0	1.0
1157.0	1.0
1158.0	2.0
1185.0	2.0
1257.8595555007666	1.0
