12.0	1.0
21.0	2.0
33.0	1.0
34.0	2.0
69.0	2.0
71.0	2.0
91.0	2.0
105.0	1.0
111.0	2.0
156.0	2.0
167.0	2.0
179.0	1.0
192.0	1.0
207.0	1.0
218.0	1.0
234.0	1.0
274.0	2.0
285.0	2.0
293.0	1.0
294.0	2.0
341.0	1.0
421.0	2.0
434.0	1.0
435.0	2.0
468.0	1.0
469.0	1.0
485.0	2.0
487.0	2.0
530.0	1.0
534.0	1.0
535.0	1.0
599.0	2.0
627.0	2.0
637.0	2.0
638.0	2.0
639.0	1.0
641.0	1.0
644.0	2.0
676.0	1.0
720.0	1.0
737.0	2.0
740.0	2.0
753.0	2.0
755.0	1.0
758.0	1.0
760.0	1.0
761.0	2.0
766.0	1.0
774.0	1.0
848.0	2.0
850.0	2.0
911.0	1.0
961.0	2.0
962.0	1.0
975.0	2.0
1039.0	1.0
1075.0	2.0
1091.0	2.0
1098.0	1.0
1135.0	1.0
1165.0	1.0
1245.7250567609892	2.0
