128.0	1.0
147.0	2.0
242.0	2.0
302.0	1.0
394.0	2.0
427.0	1.0
456.0	2.0
461.0	2.0
462.0	1.0
466.0	2.0
468.0	1.0
482.0	1.0
494.0	1.0
534.0	2.0
557.0	2.0
615.0	2.0
616.0	1.0
624.0	2.0
625.0	2.0
630.0	2.0
631.0	1.0
637.0	2.0
638.0	2.0
639.0	1.0
640.0	2.0
641.0	1.0
647.0	2.0
650.0	2.0
652.0	1.0
656.0	2.0
693.0	2.0
697.0	2.0
698.0	1.0
711.0	1.0
729.0	2.0
731.0	2.0
745.0	2.0
788.0	1.0
808.0	2.0
810.0	2.0
871.0	1.0
904.0	1.0
906.0	1.0
935.0	2.0
947.0	2.0
1001.0	1.0
1068.0	1.0
1091.0	2.0
1094.0	2.0
1124.0	2.0
1126.0	1.0
1147.0	1.0
1163.0	2.0
1182.0	2.0
1189.0	1.0
1190.0	1.0
1193.0	1.0
